name,address,zip,food_type,average_price
Bin 36 ,339 N Dearborn St,60610,"American (New), American (Traditional), Wine Bar",9.56
Bistro Voltaire ,226 W Chicago Ave,60610,"French, Bistro",14.48
Bistronomic ,840 N Wabash Ave,60611,"Bistro, French",12.77
Blackfinn Ameripub ,65 W Kinzie St,60654,"American (New), Gastropub",10.32
Blue Frog Bar & Grill ,676 N La Salle Dr,60610,"Bar Food, Sandwiches, Burgers",4.05
Blue Frog's Local 22 ,22 E Hubbard St,60611,"Bar Food, Sandwiches, Burgers, Local/Organic",9.16
Bocadillos  (CLOSED),944 N Orleans St,60610,"Mediterranean, Greek",6.26
Bombay Spice Grill & Wine ,111 W Illinois St,60654,"Indian, Vegetarian-Friendly",5.94
Bongiorno's ,405 N Wabash,60611,"Italian, Delis, Sandwiches",10.71
Bow Truss Coffee Roasters ,406 N Wells St,60654,Cafes & Coffeehouses,2.96
Brazzaz ,539 N Dearborn St,60610,"Brazilian, South American, Steakhouses",0
Brehon Pub ,731 N Wells St,60610,"Irish, Bar Food",7.11
Brett's Kitchen ,233 W Superior St,60610,"American (Traditional), Diners & Coffee Shops",4.39
Brewstone Beer Company  (CLOSED),414 N Orleans St,60610,Gastropub,12.38
Bridge Bar ,315 N LaSalle Blvd,60654,"American (New), Eclectic & International, Gastropub, Cocktails",9.02
Bridge House Tavern ,321 N Clark St,60654,"Gastropub, American (New)",11.57
Brindille ,534 N Clark St,60654,French,26.41
Brunch ,644 N Orleans St,60654,American (Traditional),13.92
Bub City ,435 N Clark St,60654,"Barbecue, Southern & Soul, Cocktails",14.8
Bull & Bear ,431 N Wells St,60654,"Bar Food, American (New), Wings",10.05
Burger Joint ,675 N Franklin St,60654,Burgers,0
Burke's Bacon Bar ,610 N Rush St,60611,"Sandwiches, American (New)",4.2
Cafe 676 ,676 N Michigan Ave,60611,American (New),11.67
Cafe Des Architectes ,20 E Chestnut St,60611,"French, Bistro, Eclectic & International, Local/Organic",16.16
Cafe Iberico ,739 N La Salle Dr,60610,"Spanish, Small Plates/Tapas",15.42
Cafe Nordstrom ,55 E Grand Ave,60611,American (Traditional),9.54
California Pizza Kitchen ,52 E Ohio St,60611,"Pizza, Californian, Eclectic & International",0.49
Cantina 46 ,46 E Superior St,60611,Mexican,6.73
Caribou Coffee ,600 N Kingsbury St,60654,Cafes & Coffeehouses,0
Carmine's ,1043 N Rush St,60611,Italian,13.17
Carson's ,612 N Wells St,60610,"Barbecue, Steakhouses",12.38
Castle Craft Pub & Eatery ,632 N Dearborn St,60654,"Gastropub, Eclectic & International, Cocktails",8.4
Central Standard ,169 W Kinzie St,60654,American (New),12.76
Centro ,6 W Hubbard St,60654,Italian,18.53
Charcoal Bar ,702 N Wells St,60654,"Japanese, Cocktails",14.43
Chicago Chop House ,60 W Ontario St,60610,Steakhouses,36.57
Chicago Cut Steakhouse ,300 N LaSalle St,60654,"Steakhouses, American (Traditional), Seafood",20.48
Chili's ,2 E Ontario St,60611,"Southwestern, American (Traditional)",12.23
Chipotle Mexican Grill ,6 W Grand Ave,60610,"Mexican, Southwestern",3.57
Citizen Bar ,364 W Erie St,60610,"American (Traditional), Bar Food, Wings",7.54
Cityscape Bar ,350 W Mart Center Dr,60606,"Bar Food, Cocktails",10.27
Club Lago ,331 W Superior St,60610,Italian,7.58
Coco Pazzo ,300 W Hubbard St,60610,Italian,16.17
Cocoro ,668 N Wells St,60610,"Japanese, Sushi",10.18
Cosi ,55 E Grand Ave,60611,"Sandwiches, Soups, Salads, Cafes & Coffeehouses",6.53
Crispy Pizza  (CLOSED),349 W Oak St,60610,"Italian, Pizza",9.5
Crossroads ,329 N Dearborn St,60610,"American (New), Cajun & Creole",9.23
Cru Cafe & Wine Bar ,25 E Delaware Pl,60611,"American (New), Cocktails",11.96
Crumbs Bake Shop ,346 N Clark St,60654,"Desserts, Bakeries",21.98
Culture  (CLOSED),Location Varies,60601,Desserts,0
Cyrano's Farm & Kitchen ,546 N Wells St,60654,"French, Small Plates/Tapas, Local/Organic",8.79
Davanti Enoteca River North ,30 E Hubbard St,60611,"Italian, Wine Bar",32.26
David Burke's Primehouse ,616 N Rush St,60611,"Steakhouses, American (New), Local/Organic",15.17
Devon Seafood Grill ,39 E Chicago Ave,60611,"Seafood, American (New), Cocktails, Vegetarian-Friendly",14.08
Dick's Last Resort ,315 N Dearborn St,60611,Bar Food,11.21
Dillman's ,354 W Hubbard St,60654,Delis,8.04
District Bar ,170 W Ontario St,60654,"American (Traditional), Bar Food, Burgers",7.95
Doc B's Fresh Kitchen ,100 E Walton St,60611,"American (New), Diners & Coffee Shops",11.96
Double A ,108 W Kinzie St,60654,Other,329.57
Downtown Dogs ,804 N Rush St,60611,"Hot Dogs, American (Traditional), Burgers",4.36
Dragon Ranch ,441 N Clark St,60654,"Barbecue, Asian Fusion, Cocktails",12.15
e.leaven ,54 E Ontario St,60611,"Bakeries, Sandwiches",3.69
Ed Debevic's ,640 N Wells St,60610,"American (Traditional), Diners & Coffee Shops",5.72
Eggsperience ,35 W Ontario St,60654,"Sandwiches, Other",5.82
Einstein Bros ,400 N Dearborn St,60654,"Sandwiches, Bagels",3.61
Einstein Bros ,109 E Pearson St,60611,"Sandwiches, Bagels",3.61
El Hefe ,15 W Hubbard St,60654,Mexican,8.73
El Souk ,808 N State St,60610,Middle Eastern,4.67
Ember Grille ,320 N Dearborn St,60610,"Steakhouses, American (New)",11.45
English ,444 N LaSalle St,60610,"British (Traditional), Bar Food, Fish & Chips",7.87
Epic ,112 W Hubbard St,60654,"American (New), Cocktails",12.86
Epic Burger ,40 E Pearson St,60611,Burgers,5.32
Epic Burger ,407 N Clark St,60654,Burgers,5.32
Erie Cafe ,536 W Erie St,60610,"Italian, Steakhouses",17.41
Euphrates Cafe ,1143 N Wells St,60610,"Mediterranean, Cafes & Coffeehouses",7.72
Fabcakes ,714 N Wells St,60654,"Cafes & Coffeehouses, Bakeries",4.86
Fado Irish Pub ,100 W Grand Ave,60610,"Irish, Bar Food",8.49
Farmhouse ,228 W Chicago Ave,60610,"American (Traditional), Local/Organic",9.42
Fedora Lounge ,712 N Clark St,60654,Bar Food,7.86
Firecakes ,68 W Hubbard St,60654,"Bakeries, Desserts",2.5
Flaco's Tacos ,46 E Chicago Ave,60611,Mexican,2.91
Fleming's Prime Steakhouse & Wine Bar ,25 E Ohio St,60611,"Steakhouses, Wine Bar",19.21
Food For Thought ,401 N Michigan Ave,60610,"Delis, Sandwiches",3.73
Foodstuffs ,222 Merchandise Mart Plz,60654,"Delis, Other",3.45
Forever Yogurt ,42 E Chicago Ave,60611,Desserts,0
Frankie's Scaloppine ,900 N Michigan Ave,60611,"Italian, Pizza",10.69
Freestyle Food & Drink ,660 N State St,60601,American (New),9.05
Freshii ,350 N LaSalle St,60654,"Sandwiches, Salads, Health Food",2.55
Friends Sushi ,710 N Rush St,60611,"Sushi, Japanese",10.34
Frontera Grill ,445 N Clark St,60610,"Mexican, Local/Organic, Cocktails",12.31
Froyo ,446 N State St,60654,Desserts,1.88
Fulton's On the River ,315 N LaSalle St,60610,"Seafood, Steakhouses, Local/Organic",15.87
Gallery Bar ,738 N Clark St,60610,Asian Fusion,0
Gaylord India ,100 E Walton St,60613,Indian,11.61
Gaztro-Wagon  (CLOSED),Location Varies,60610,"American (New), Sandwiches",5.7
Gene & Georgetti ,500 N Franklin St,60610,"Italian, Steakhouses",19.11
Ghirardelli Ice Cream & Chocolate Shop ,830 N Michigan Ave,60611,Desserts,6.64
Gibson's Bar & Steakhouse ,1028 N Rush St,60611,Steakhouses,19.0
Gilt Bar ,230 W Kinzie St,60610,"American (New), Cocktails",12.1
Gino's East ,633 N Wells St,60610,Pizza,15.68
Ginza ,19 E Ohio St,60611,"Japanese, Sushi",8.65
Giordano's ,730 N Rush St,60611,"Italian, Pizza",14.26
Glazed and Infused ,30 E Hubbard St,60611,"Desserts, Bakeries",2.55
Go Roma ,848 N State St,60610,"Italian, Pizza",9.22
Graham Elliot ,217 W Huron St,60610,"American (New), Eclectic & International",0
Grahamwich  (CLOSED),615 N State St,60654,Sandwiches,5.88
Green Door Tavern ,678 N Orleans St,60610,"Bar Food, Burgers",8.3
GT Fish & Oyster ,531 N Wells St,60654,"Seafood, American (New), Fish & Chips",14.54
Hannah's Bretzel ,400 N LaSalle St,60654,"Sandwiches, Local/Organic",5.66
Hard Rock Cafe ,63 W Ontario St,60610,"American (Traditional), Burgers",0
Harry Caray's ,33 W Kinzie St,60610,"Steakhouses, Italian, Cocktails",14.8
Havana Grill ,412 N Clark St,60654,"Cuban, Latin American",11.5
Hendrickx Belgian Bread Crafter ,100 E Walton St,60611,"Belgian, Bakeries",14.3
Highball Lounge ,738 N Clark St,60654,Cocktails,19.7
Hooters ,660 N Wells St,60610,"Bar Food, Chicken",0
Hop Haus ,646 N Franklin St,60610,"Burgers, Bar Food",8.21
Howl At the Moon ,26 W Hubbard St,60610,"Pizza, Sandwiches, Wings, Bar Food, Cocktails",8.73
Hub 51 ,51 W Hubbard St,60610,"American (New), Mexican, Sushi",12.3
Hubbard Inn ,110 W Hubbard St,60610,"American (New), Eclectic & International, Cocktails",10.42
ikram cafe ,15 E Huron St,60611,"Cafes & Coffeehouses, American (New)",12.5
India House ,59 W Grand Ave,60610,Indian,13.85
ItaliAsia ,350 W Mart Center Dr,60606,"Italian, Asian Fusion, Eclectic & International",9.68
J. Rocco Italian Table & Bar ,749 N Clark St	,60610,Italian,11.54
Jake Melnick's Corner Tap ,41 E Superior St,60611,"Sandwiches, Bar Food",9.44
Japonais ,600 W Chicago Ave,60610,"French, Japanese, Sushi",47.56
Jimmy ,610 N Rush St,60611,Cocktails,15.38
Jimmy ,610 N Rush St,60611,"Cocktails, Small Plates/Tapas",15.31
Jimmy John's ,46 E Chicago Ave,60611,Sandwiches,2.13
Jimmy John's ,55 E Grand Ave,60611,Sandwiches,2.13
Jimmy John's ,501 N LaSalle St,60654,Sandwiches,0
Joe's Stone Crab ,60 E Grand Ave,60611,"Seafood, Steakhouses",17.69
John Barleycorn ,149 W Kinzie St,60654,"American (New), Bar Food",9.96
Johnny's Grill ,838 N State St,60610,"Hot Dogs, Burgers",5.02
Kamehachi ,320 N Dearborn St,60610,"Japanese, Sushi",7.96
Kan Zaman ,617 N Wells St,60610,"Mediterranean, Middle Eastern",8.41
Karyn's Cooked ,738 N Wells St,60610,"Vegetarian-Friendly, Health Food, Local/Organic",6.13
Keefer's ,20 W Kinzie St,60610,"American (Traditional), Steakhouses",16.17
Kiki's Bistro ,900 N Franklin St,60610,"French, Bistro",11.98
Kinzie Chophouse ,400 N Wells St,60610,"Steakhouses, American (Traditional)",50.86
L'Appetito Imported Italian Foods ,30 E Huron St,60611,"Sandwiches, Italian",6.0
La Adelita ,Location Varies,60654,Mexican,6.6
La Madia ,59 W Grand Ave,60610,"Italian, Pizza, Local/Organic",11.13
Lao 18 ,18 W Hubbard St,60654,"Chinese, Dim Sum",10.28
Latitude 20 ,Location Varies,60654,Indian,4.84
Le Bar ,20 E Chestnut St,60611,"Gastropub, Small Plates/Tapas, Cocktails",9.11
Le Colonial ,937 N Rush St,60611,Vietnamese,12.96
Little Market Brasserie ,10 E Delaware Pl,60611,"Small Plates/Tapas, American (New), Cocktails",11.35
Little Salad Truck ,Location Varies,60654,Salads,8.33
LM Bistro ,111 Huron St,60611,"French, Bistro",10.74
Lou Malnati's Pizzeria ,439 N Wells St,60610,"Pizza, Italian",0
M Burger ,5 W Ontario St,60654,Burgers,3.99
Maggiano's Little Italy ,516 N Clark St,60610,Italian,27.47
Martini Ranch  (CLOSED),311 W Chicago Ave,60610,Mexican,6.91
Mastro's Steakhouse ,520 N Dearborn St,60654,"Steakhouses, Seafood",23.26
Maxwell's at the Club ,500 N Kingsbury St,60610,American (Traditional),9.38
McCormick & Schmick's ,41 E Chestnut St,60611,"Steakhouses, American (Traditional), Seafood, Sushi",17.59
Mei's Corner ,101 E Delaware Pl,60611,Chinese,8.9
Meli Cafe ,540 N Wells St,60654,"Diners & Coffee Shops, Crepes, Smoothies/Juice Bar",8.21
Melting Pot ,609 N Dearborn St,60610,"Eclectic & International, Other",17.02
Mercadito ,108 W Kinzie St,60654,"Mexican, Local/Organic, Vegetarian-Friendly",10.57
Mercer 113 ,113 W Hubbard St,60654,American (New),13.13
Michael Jordan's Steak House ,505 N Michigan Ave,60611,Steakhouses,16.34
Minx ,111 W Hubbard St,60610,Bar Food,7.82
Mister J's ,822 N State St,60610,Chicago Grill,5.03
Mixed Greens ,308 W Erie St,60654,Salads,3.97
mk ,868 N Franklin St,60610,American (New),15.19
Moe's Cantina River North ,155 W Kinzie St,60654,"Mexican, Small Plates/Tapas",7.95
More Cupcakes ,1 E Delaware Pl,60611,"Desserts, Bakeries",10.39
More Mobile ,1 E Delaware Pl,60611,"Desserts, Bakeries",0
Motel ,600 W Chicago Ave,60610,"American (Traditional), Eclectic & International",7.13
Mother Hubbard's Sports Pub ,5 W Hubbard St,60654,"Bar Food, Wings",6.91
Mr Beef on Orleans ,666 N Orleans St,60610,Sandwiches,3.66
Mr. G's ,747 N Clark St,60610,"American (Traditional), Burgers, Hot Dogs",3.53
Municipal Bar & Dining Co ,216 W Ohio St,60654,American (New),9.05
Nacional 27 ,325 W Huron St,60610,"Nuevo Latino, Latin American, Small Plates/Tapas, Cocktails",10.18
Naha ,500 N Clark St,60610,"American (New), Eclectic & International, Mediterranean",18.68
Network ,810 N Clark St,60610,"Bar Food, Fish & Chips, Cocktails",8.94
New Rebozo ,48 E Superior St,60611,Mexican,11.84
Nick's Fishmarket Grill ,222 W Merchandise Mart Plaza,60654,"Seafood, Cocktails",11.72
NoMI Kitchen ,800 N Michigan Ave ,60611,"French, Sushi, American (New), Small Plates/Tapas, Local/Organic, Cocktails",16.92
NYC Bagel Deli ,515 N Dearborn St,60610,"Bagels, Delis, Sandwiches",6.85
O'Callaghan's Pub ,29 W Hubbard St,60610,Bar Food,5.83
O'Leary's Public House ,541 N Wells St,60610,Bar Food,6.36
Ohio House Coffee Shop  (CLOSED),600 N La Salle Dr,60610,Diners & Coffee Shops,3.93
Old Chicago Grill ,22 W Ohio St,60611,"Chicago Grill, Diners & Coffee Shops",3.67
Orange ,738 N Clark St,60654,American (Traditional),5.47
Orange ,730 W Grand Ave,60654,American (Traditional),5.47
Osteria Via Stato ,620 N State St,60610,"Italian, Cocktails",11.73
Oysy ,50 E Grand Ave,60611,"Japanese, Sushi",7.95
P F Chang's China Bistro ,530 N Wabash Ave,60611,"Chinese, Bistro",19.55
Panang ,800 N Clark St,60610,Thai,7.25
Paris Club ,59 W Hubbard St,60610,French,15.15
Patron's Hacienda ,316 W Erie St,60654,Mexican,7.84
Pepper Canister ,509 N Wells St,60610,"Bar Food, Irish",8.63
Phil's Stefani's 437 Rush ,437 N Rush St,60611,"Italian, Steakhouses, Seafood",15.1
Piccolo Sogno ,464 N Halsted St,60622,"Italian, Pizza",13.26
Piccolo Sogno Due ,340 N Clark,60610,"Italian, Pizza",13.34
Pinkberry ,635 N State St,60611,Desserts,0
Pintxos ,737 N LaSalle Dr,60610,"Spanish, Small Plates/Tapas",3.8
Pitalicious Cafe ,944 N Orleans St,60610,"Mediterranean, Cafes & Coffeehouses",5.45
Pizano's Pizza & Pasta ,864 N State St,60610,"Italian, Pizza",11.66
Pizano's Pizza & Pasta ,800 N Dearborn St,60610,"Pizza, Italian",9.9
Pizzeria Due ,619 N Wabash Ave,60611,"Pizza, Italian",5.35
Pizzeria Ora ,545 N La Salle Blvd,60610,"Pizza, American (Traditional)",6.57
Pizzeria Uno ,29 E Ohio St,60611,"Pizza, American (Traditional)",6.45
Pizzeria Via Stato ,620 N State St,60610,"Pizza, Italian",10.09
Pops For Champagne ,601 N State St,60610,"American (New), Gastropub",13.23
Portillo's Hot Dogs ,100 W Ontario St,60610,"Hot Dogs, Sandwiches",5.51
Potbelly Sandwich Shop ,222 Merchandise Mart #109,60654,Sandwiches,5.71
Potbelly Sandwich Shop ,57 E Chicago Ave,60611,Sandwiches,5.71
Potbelly Sandwich Shop ,508 N Clark St,60610,Sandwiches,5.71
Prosecco ,710 N Wells St,60610,Italian,16.9
Protein Bar ,222 Merchandise Mart Plz,60654,"Salads, Smoothies/Juice Bar, Health Food",4.89
Protein Bar ,352 N Clark St,60654,"Health Food, Smoothies/Juice Bar, Vegetarian-Friendly",0
PT ,10 E Delaware Pl,60611,American (New),10.13
Public House ,400 N State St,60610,"Gastropub, Barbecue, Sandwiches",9.02
Qdoba Mexican Grill  (CLOSED),20 E Chicago Ave,60611,Mexican,4.6
Quang Noodle ,804 N State St,60610,Thai,7.92
Quartino ,626 N State St,60610,"Italian, Pizza, Wine Bar, Small Plates/Tapas",12.71
Rainforest Cafe ,605 N Clark St,60610,"American (Traditional), Eclectic & International",11.05
RB Grille ,1 W Grand Ave,60654,"American (Traditional), Steakhouses, Seafood",11.86
Rebar ,401 N Wabash Ave,60611,"Japanese, Sushi, Cocktails",19.45
Red Violet  (CLOSED),121 W Hubbard St,60654,Chinese,12.16
Reza's ,432 W Ontario St,60610,"Persian, Middle Eastern, Mediterranean, Wild Game",12.12
Robust Coffee Lounge ,416 W Ontario St,60654,Cafes & Coffeehouses,3.53
Rock Bottom ,1 W Grand Ave,60610,"American (Traditional), Bar Food, Wings",11.05
Rockit Bar & Grill ,22 W Hubbard St,60610,"American (Traditional), Cocktails",10.82
Roka Akor ,456 N Clark St,60654,"Sushi, Japanese",15.24
Rosati's California Style Deli ,126 W Grand Ave,60610,"Pizza, Delis, Californian, Sandwiches",16.14
Rosebud on Rush ,720 N Rush St,60611,Italian,15.09
Rosebud Trattoria  (CLOSED),445 N Dearborn St,60610,"Italian, Pizza",12.2
Roy's ,720 N State St,60610,"Asian Fusion, Hawaiian, Sushi, Cocktails",19.35
RPM Italian ,52 W Illinois St,60654,"Italian, Cocktails, Small Plates/Tapas",16.56
Ruth's Chris Steak House ,431 N Dearborn St,60610,"Steakhouses, American (Traditional)",20.28
Sable ,505 N State St,60654,"Gastropub, American (New), Local/Organic, Cocktails",11.26
Sam's Grill ,416 N Clark St,60610,"Sandwiches, Diners & Coffee Shops",3.6
SamichBox ,Location Varies,60654,Sandwiches,0
Schnitzel King ,Location Varies,60654,German,0
Scoozi ,410 W Huron St,60610,"Italian, Pizza",10.29
Shamrock Club ,210 W Kinzie St,60610,"American (Traditional), Bar Food",4.66
Shaw's Crab House ,21 E Hubbard St,60611,"Seafood, Sushi",16.2
Siena Tavern ,51 W Kinzie St,60654,"American (New), Italian",15.69
Silver Spoon ,710 N Rush St,60611,Thai,7.21
Sixteen ,401 N Wabash Ave,60611,American (New),13.31
Slurping Turtle ,116 W Hubbard St,60654,"Japanese, Noodle Shops",8.61
Smith & Wollensky ,318 N State St,60610,Steakhouses,23.14
Snarf's ,600 W Chicago Ave,60654,Sandwiches,3.94
Snickers ,448 N State St,60610,"Sandwiches, Burgers, Delis",6.86
Soupbox ,50 E Chicago Ave,60611,Soups,6.18
Sprinkles Cupcakes ,50 E Walton St,60611,"Bakeries, Desserts",0
Sprinklesmobile ,50 E Walton St,60606,"Bakeries, Desserts",0
Star of Siam ,11 E Illinois St,60611,Thai,6.47
Starfruit ,222 W Merchandise Mart Plz,60654,"Other, Local/Organic, Desserts",2.14
State Street Pizza Company ,400 N State St,60610,Pizza,3.19
Steve's Place ,230 W Chicago Ave,60610,"American (Traditional), Diners & Coffee Shops",3.87
Stone Lotus ,873 N Orleans St,60610,"Bar Food, Cocktails",13.06
Stout Barrel House & Galley ,642 N Clark St,60654,"American (New), Gastropub",12.51
Su Casa ,49 E Ontario Ave,60611,Mexican,9.21
Sugar Bliss ,509 N Orleans,60654,"Desserts, Bakeries",2.27
Sullivan's Steakhouse ,415 N Dearborn St,60610,"Steakhouses, Seafood",21.92
Sumi Robata Bar ,702 N Wells St,60654,"Japanese, Small Plates/Tapas, Barbecue",15.08
Sunda ,110 W Illinois St,60654,"Asian Fusion, Sushi",13.1
Sunny Side Up & Coffee Shop ,42 E Superior St,60611,Cafes & Coffeehouses,11.01
Sushi Naniwa ,607 N Wells St,60610,"Japanese, Sushi",9.2
Sushi Taiyo ,58 E Ontario St,60611,"Japanese, Sushi",9.64
SushiSamba Rio ,504 N Wells St,60610,"Japanese, Sushi, Brazilian, Peruvian, Cocktails",11.44
Sweetwater Tavern and Grille ,225 N Michigan Ave,60601,"American (New), Bar Food",10.7
Taco Burrito King ,114 W Chicago Ave,60610,Mexican,5.03
Taco Joint ,158 W Ontario St,60654,Mexican,6.56
Tanta ,118 W Grand Ave,60612,Peruvian,14.3
Taquero Fusion ,Location Varies,60654,Mexican,4.32
Tavern on Rush ,1031 N Rush St,60611,"Steakhouses, American (Traditional), Bar Food, Local/Organic",13.68
Tavernita ,151 W Erie St,60654,"Small Plates/Tapas, Spanish, Cocktails",11.32
Technique ,361 W Chestnut St,60610,"American (New), Small Plates/Tapas",0
Tempo Cafe ,6 E Chestnut St,60611,"American (Traditional), Diners & Coffee Shops",0
Terrace at Trump ,401 N Wabash Ave,60611,"American (New), Seafood, Sushi",38.26
The Back Room ,937 N Rush St,60611,"Small Plates/Tapas, Cocktails",0
The Berkshire Room ,15 W Ohio St,60611,"American (New), Small Plates/Tapas, Cocktails",12.54
The Boarding House ,720 N Wells St,60654,"American (New), Wine Bar",15.74
The Boss Bar ,420 N Clark St,60610,"Bar Food, Pizza, Burgers",6.53
The Doughnut Vault ,400 N Franklin St,60654,"Bakeries, Other",2.25
The Drawing Room ,937 N Rush St,60611,"American (New), Cocktails",15.44
The Fresh Market ,737 N Michigan Ave,60611,"Cafes & Coffeehouses, Salads, Sandwiches",7.41
The Goddess & Grocer ,25 E Delaware Pl,60611,"Delis, Sandwiches",4.84
The Grid ,351 W Hubbard St,60654,"American (New), Gastropub",8.8
The Kerryman ,661 N Clark St,60610,"Irish, Bar Food",9.33
The Lasalle Cafe Luna ,712 N La Salle St,60610,Diners & Coffee Shops,4.97
The Purple Pig ,500 N Michigan Ave,60611,"Gastropub, Mediterranean, Small Plates/Tapas, Wine Bar",10.68
The Roost ,Location Varies,60610,Southern & Soul,4.2
The Terrace at Conrad ,521 N Rush St,60611,"American (New), American (Traditional), Seafood, Local/Organic",13.01
The Tortoise Club ,350 N State St,60654,American (New),16.32
Three Dots and a Dash ,435 N Clark St,60654,"Cocktails, Asian Fusion",65.73
Tokyo Lunch Box ,222 Merchandise Mart Plz,60654,"Japanese, Sushi",7.22
Top Wok ,58 E Ontario St,60611,Chinese,13.62
Topolobampo ,445 N Clark St,60610,"Mexican, Local/Organic, Cocktails",17.47
Torta's Tacos ,349 W Oak St,60610,Mexican,7.9
Travelle ,330 N Wabash Ave	,60611,"Mediterranean, Seafood",38.82
Tsang Chinese Food ,548 N Wells St,60610,Chinese,6.87
Two Italian's Restaurant ,349 W Oak St,60610,"Italian, Pizza",7.86
Union Sushi & Barbeque Bar ,230 W Erie St,60654,"Japanese, Sushi, Barbecue, Vegetarian-Friendly",27.13
Untitled ,111 W Kinzie St,60654,"American (New), Small Plates/Tapas",14.2
Vermilion ,10 W Hubbard St,60610,"Indian, Latin American, South American, Small Plates/Tapas, Nuevo Latino, Cocktails, Vegetarian-Friendly",16.63
Vinyl ,121 W Hubbard St,60654,"American (New), Bar Food",10.24
Vora ,1028 N Clark St,60610,"Asian Fusion, Sushi, Dim Sum",10.35
Watershed ,601 N State St,60610,"American (New), Gastropub, Small Plates/Tapas, Cocktails",8.84
Weber Grill ,539 N State St,60610,"American (Traditional), Barbecue, Steakhouses",11.58
Wildfire ,159 W Erie St,60610,"Steakhouses, American (Traditional), Seafood",17.15
Windy City Patty Wagon ,Location Varies,60654,Burgers,7.1
Wow Bao ,Location Varies,60654,"Asian Fusion, Other",2.0
Xoco ,449 N Clark St,60610,"Mexican, Sandwiches, Soups, Local/Organic, Desserts, Bakeries",6.17
Yolk ,747 N Wells St,60654,American (Traditional),5.51
Yu Choy ,548 N Wells St,60610,Chinese,5.5
Yu Shan ,584 N Wells St,60654,Chinese,6.34
ZED451 ,739 N Clark St,60610,"Steakhouses, American (New), Other, Gastropub",9.65
Zocalo  (CLOSED),358 W Ontario St,60610,Mexican,9.6
312 Chicago ,136 N La Salle St,60602,"Italian, Local/Organic",12.14
5411 Empanadas ,Location Varies,60611,"South American, Latin American",0
Ada's Famous Deli  (CLOSED),14 S Wabash  Ave,60603,"Delis, Sandwiches",7.2
Al's Beef ,28 E Jackson Blvd,60604,"Sandwiches, Burgers, Hot Dogs",4.1
Allstar Sports Bar & Grill ,205 W Wacker Dr,60606,"Bar Food, American (Traditional)",10.37
Alonti Market Cafe ,1 N Franklin St,60606,"Other, American (Traditional)",57.65
Alonti Market Cafe ,177 W Washington Blvd,60602,"Other, American (Traditional)",57.65
Alonti Market Cafe ,333 W Wacker Dr,60606,"Other, American (Traditional)",57.65
America's Dog ,21 E Adams St,60603,"Hot Dogs, Sandwiches",4.89
America's Dog ,26 E Randolph St,60601,Hot Dogs,0
